Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
59	271.8045654297	385.3338623047	371.0842895508	0.1845805645	0.0000000000	8.0000000000	0.0000000000
59	255.9261779785	377.3888244629	371.4059753418	0.2589020729	0.0000000000	8.0000000000	0.0000000000
60	255.9261779785	377.3888244629	371.4059753418	0.2589020729	0.0000000000	8.0000000000	0.0000000000
60	245.9204406738	365.5175170898	372.4929199219	0.2706153393	0.0000000000	8.0000000000	0.0000000000
61	245.9204406738	365.5175170898	372.4929199219	0.2706153393	0.0000000000	8.0000000000	0.0000000000
61	239.3557739258	361.2026672363	371.8513793945	0.1169931889	0.0000000000	8.0000000000	0.0000000000
62	239.3557739258	361.2026672363	371.8513793945	0.1169931889	0.0000000000	8.0000000000	0.0000000000
62	238.9181671143	358.5204162598	374.3149414062	0.0708119869	0.0000000000	8.0000000000	0.0000000000
63	238.9181671143	358.5204162598	374.3149414062	0.0708119869	0.0000000000	8.0000000000	0.0000000000
63	223.8919982910	351.4899902344	373.7550048828	0.2273389101	0.0000000000	8.0000000000	0.0000000000
64	223.8919982910	351.4899902344	373.7550048828	0.2273389101	0.0000000000	8.0000000000	0.0000000000
64	211.2319946289	342.9234924316	374.3284912109	0.2094863653	0.0000000000	8.0000000000	0.0000000000
65	211.2319946289	342.9234924316	374.3284912109	0.2094863653	0.0000000000	8.0000000000	0.0000000000
65	198.5720062256	334.3569946289	374.9020080566	0.2094862461	0.0000000000	8.0000000000	0.0000000000
66	198.5720062256	334.3569946289	374.9020080566	0.2094862461	0.0000000000	8.0000000000	0.0000000000
66	186.7470092773	326.3074951172	375.4370117188	0.1960244179	0.0000000000	8.0000000000	0.0000000000
67	186.7470092773	326.3074951172	375.4370117188	0.1960244179	0.0000000000	8.0000000000	0.0000000000
67	174.9219970703	318.2579956055	375.9719848633	0.1960245371	0.0000000000	8.0000000000	0.0000000000
68	174.9219970703	318.2579956055	375.9719848633	0.1960245371	0.0000000000	8.0000000000	0.0000000000
68	159.2591552734	318.5788879395	375.9536437988	0.2794578671	0.0000000000	8.0000000000	0.0000000000
69	159.2591552734	318.5788879395	375.9536437988	0.2794578671	0.0000000000	8.0000000000	0.0000000000
69	144.0176239014	310.3168640137	375.8270568848	0.2628583610	0.0000000000	8.0000000000	0.0000000000
70	144.0176239014	310.3168640137	375.8270568848	0.2628583610	0.0000000000	8.0000000000	0.0000000000
70	130.2850646973	303.6816711426	377.0928344727	0.2230784297	0.0000000000	8.0000000000	0.0000000000
71	130.2850646973	303.6816711426	377.0928344727	0.2230784297	0.0000000000	8.0000000000	0.0000000000
71	127.6959991455	303.9080200195	378.1090087891	0.0562041998	0.0000000000	8.0000000000	1.0000000000
72	127.6959991455	303.9080200195	378.1090087891	0.0562041998	0.0000000000	8.0000000000	1.0000000000
72	129.1179656982	304.7455139160	381.6809387207	0.0562041998	0.0000000000	8.0000000000	1.0000000000
73	129.1179656982	304.7455139160	381.6809387207	0.0562041998	0.0000000000	8.0000000000	1.0000000000
73	130.3562927246	304.8436279297	390.0258483887	0.1449366808	0.0000000000	8.0000000000	1.0000000000
74	130.3562927246	304.8436279297	390.0258483887	0.1449366808	0.0000000000	8.0000000000	1.0000000000
74	132.2762145996	306.0510253906	396.7085266113	0.0990911722	0.0000000000	8.0000000000	1.0000000000
75	132.2762145996	306.0510253906	396.7085266113	0.0990911722	0.0000000000	8.0000000000	1.0000000000
75	132.0872802734	308.4486083984	402.7699279785	0.0923266411	0.0000000000	8.0000000000	1.0000000000
76	132.0872802734	308.4486083984	402.7699279785	0.0923266411	0.0000000000	8.0000000000	1.0000000000
76	131.6049041748	317.0866394043	411.7402648926	0.1926111579	0.0000000000	8.0000000000	1.0000000000
77	131.6049041748	317.0866394043	411.7402648926	0.1926111579	0.0000000000	8.0000000000	1.0000000000
77	130.1656341553	316.3193359375	419.1088256836	0.0910732746	0.0000000000	8.0000000000	1.0000000000
78	130.1656341553	316.3193359375	419.1088256836	0.0910732746	0.0000000000	8.0000000000	1.0000000000
78	128.6393890381	315.4278564453	427.7665100098	0.0712363720	0.0000000000	8.0000000000	1.0000000000
79	128.6393890381	315.4278564453	427.7665100098	0.0712363720	0.0000000000	8.0000000000	1.0000000000
79	130.0059356689	315.5878295898	433.9537963867	0.0985298753	0.0000000000	8.0000000000	1.0000000000
80	130.0059356689	315.5878295898	433.9537963867	0.0985298753	0.0000000000	8.0000000000	1.0000000000
80	134.3322601318	318.2895507812	444.5220031738	0.1686084270	0.0000000000	8.0000000000	1.0000000000
81	134.3322601318	318.2895507812	444.5220031738	0.1686084270	0.0000000000	8.0000000000	1.0000000000
81	137.1961669922	319.6390991211	452.8977661133	0.1264948845	0.0000000000	8.0000000000	1.0000000000
82	137.1961669922	319.6390991211	452.8977661133	0.1264948845	0.0000000000	8.0000000000	1.0000000000
82	137.1187591553	315.2406921387	464.7917480469	0.1790249348	0.0000000000	8.0000000000	1.0000000000
83	137.1187591553	315.2406921387	464.7917480469	0.1790249348	0.0000000000	8.0000000000	1.0000000000
83	137.7108001709	316.7383728027	472.3218078613	0.1855262518	0.0000000000	8.0000000000	1.0000000000
84	407.5468444824	611.5884399414	364.9247131348	0.0770316124	0.0000000000	7.0000000000	0.0000000000
84	397.6948547363	610.7072753906	365.5767211914	0.1727252007	0.0000000000	7.0000000000	0.0000000000
85	397.6948547363	610.7072753906	365.5767211914	0.1727252007	0.0000000000	7.0000000000	0.0000000000
85	392.8616027832	607.4373168945	368.6995849609	0.1144237518	0.0000000000	7.0000000000	0.0000000000
86	392.8616027832	607.4373168945	368.6995849609	0.1144237518	0.0000000000	7.0000000000	0.0000000000
86	379.6588745117	600.0291748047	365.7669677734	0.2253496647	0.0000000000	7.0000000000	0.0000000000
87	379.6588745117	600.0291748047	365.7669677734	0.2253496647	0.0000000000	7.0000000000	0.0000000000
87	365.0764770508	592.8483886719	367.0260925293	0.2288653851	0.0000000000	7.0000000000	0.0000000000
88	365.0764770508	592.8483886719	367.0260925293	0.2288653851	0.0000000000	7.0000000000	0.0000000000
88	357.8359985352	591.9284667969	367.6929931641	0.1253247261	0.0000000000	7.0000000000	0.0000000000
89	357.8359985352	591.9284667969	367.6929931641	0.1253247261	0.0000000000	7.0000000000	0.0000000000
89	344.3724975586	594.9215087891	368.3024902344	0.2363069057	0.0000000000	7.0000000000	0.0000000000
90	344.3724975586	594.9215087891	368.3024902344	0.2363069057	0.0000000000	7.0000000000	0.0000000000
90	331.3580017090	596.7999877930	368.8914794922	0.2252869606	0.0000000000	7.0000000000	0.0000000000
91	331.3580017090	596.7999877930	368.8914794922	0.2252869606	0.0000000000	7.0000000000	0.0000000000
91	318.3204956055	599.7119750977	369.4815063477	0.2288722992	0.0000000000	7.0000000000	0.0000000000
92	318.3204956055	599.7119750977	369.4815063477	0.2288722992	0.0000000000	7.0000000000	0.0000000000
92	307.9007263184	594.5837402344	369.3242797852	0.1662657261	0.0000000000	7.0000000000	0.0000000000
93	307.9007263184	594.5837402344	369.3242797852	0.1662657261	0.0000000000	7.0000000000	0.0000000000
93	300.1735229492	590.7979736328	370.3029785156	0.1185081005	0.0000000000	7.0000000000	0.0000000000
94	300.1735229492	590.7979736328	370.3029785156	0.1185081005	0.0000000000	7.0000000000	0.0000000000
94	291.9690551758	586.6445312500	369.4862670898	0.1369404793	0.0000000000	7.0000000000	0.0000000000
95	291.9690551758	586.6445312500	369.4862670898	0.1369404793	0.0000000000	7.0000000000	0.0000000000
95	286.6567993164	586.3956298828	370.2160034180	0.0954275131	0.0000000000	7.0000000000	0.0000000000
96	286.6567993164	586.3956298828	370.2160034180	0.0954275131	0.0000000000	7.0000000000	0.0000000000
96	281.1199951172	583.1425170898	371.1654968262	0.0887784958	0.0000000000	7.0000000000	0.0000000000
97	281.1199951172	583.1425170898	371.1654968262	0.0887784958	0.0000000000	7.0000000000	0.0000000000
97	269.6214904785	585.7415161133	371.6860046387	0.2019393444	0.0000000000	7.0000000000	0.0000000000
98	269.6214904785	585.7415161133	371.6860046387	0.2019393444	0.0000000000	7.0000000000	0.0000000000
98	257.6264953613	578.7728881836	370.8096618652	0.2091741562	0.0000000000	7.0000000000	0.0000000000
99	257.6264953613	578.7728881836	370.8096618652	0.2091741562	0.0000000000	7.0000000000	0.0000000000
99	243.4185485840	572.0303955078	372.6221923828	0.2208060026	0.0000000000	7.0000000000	0.0000000000
100	243.4185485840	572.0303955078	372.6221923828	0.2208060026	0.0000000000	7.0000000000	0.0000000000
100	225.6849975586	574.8585205078	373.6740112305	0.3079830408	0.0000000000	7.0000000000	0.0000000000
101	225.6849975586	574.8585205078	373.6740112305	0.3079830408	0.0000000000	7.0000000000	0.0000000000
101	219.1816406250	579.3204956055	373.7024230957	0.1370058060	0.0000000000	7.0000000000	0.0000000000
102	219.1816406250	579.3204956055	373.7024230957	0.1370058060	0.0000000000	7.0000000000	0.0000000000
102	204.3476715088	572.1020507812	374.0719909668	0.2353413701	0.0000000000	7.0000000000	0.0000000000
103	204.3476715088	572.1020507812	374.0719909668	0.2353413701	0.0000000000	7.0000000000	0.0000000000
103	190.1824951172	564.4649658203	375.2810058594	0.2210210562	0.0000000000	7.0000000000	0.0000000000
104	190.1824951172	564.4649658203	375.2810058594	0.2210210562	0.0000000000	7.0000000000	0.0000000000
104	172.5769958496	559.9719848633	376.0780029297	0.3113899827	0.0000000000	7.0000000000	0.0000000000
105	172.5769958496	559.9719848633	376.0780029297	0.3113899827	0.0000000000	7.0000000000	0.0000000000
105	167.1464843750	557.2289428711	375.0976867676	0.0915435851	0.0000000000	7.0000000000	0.0000000000
106	167.1464843750	557.2289428711	375.0976867676	0.0915435851	0.0000000000	7.0000000000	0.0000000000
106	154.7395019531	556.3175048828	376.8854980469	0.0624351501	0.0000000000	7.0000000000	1.0000000000
107	154.7395019531	556.3175048828	376.8854980469	0.0624351501	0.0000000000	7.0000000000	1.0000000000
107	156.7518005371	557.2848510742	380.5072021484	0.0624351501	0.0000000000	7.0000000000	1.0000000000
108	156.7518005371	557.2848510742	380.5072021484	0.0624351501	0.0000000000	7.0000000000	1.0000000000
108	157.2796630859	556.5366210938	383.4812316895	0.0539971590	0.0000000000	7.0000000000	1.0000000000
109	157.2796630859	556.5366210938	383.4812316895	0.0539971590	0.0000000000	7.0000000000	1.0000000000
