Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
42	418.9100036621	604.0599975586	409.2539978027	0.1246879101	0.0000000000	4.0000000000	1.0000000000
43	418.9100036621	604.0599975586	409.2539978027	0.1246879101	0.0000000000	4.0000000000	1.0000000000
43	415.2590026855	606.2589721680	413.5939941406	0.0760191381	0.0000000000	4.0000000000	1.0000000000
44	415.2590026855	606.2589721680	413.5939941406	0.0760191381	0.0000000000	4.0000000000	1.0000000000
44	409.0050048828	612.7500000000	420.3020019531	0.1751954257	0.0000000000	4.0000000000	1.0000000000
45	409.0050048828	612.7500000000	420.3020019531	0.1751954257	0.0000000000	4.0000000000	1.0000000000
45	411.0933227539	613.8931274414	421.5869445801	0.0638283268	0.0000000000	4.0000000000	1.0000000000
46	745.3330078125	405.6640014648	250.9429931641	0.1275281310	0.0000000000	3.0000000000	0.0000000000
46	726.4520263672	402.3269958496	251.7969970703	0.1301285625	0.0000000000	3.0000000000	0.0000000000
47	726.4520263672	402.3269958496	251.7969970703	0.1301285625	0.0000000000	3.0000000000	0.0000000000
47	710.6099853516	399.9840087891	252.5140075684	0.0970353782	0.0000000000	3.0000000000	0.0000000000
48	710.6099853516	399.9840087891	252.5140075684	0.0970353782	0.0000000000	3.0000000000	0.0000000000
48	700.3380126953	397.9010009766	252.9790039062	0.1582317352	0.0000000000	3.0000000000	1.0000000000
49	700.3380126953	397.9010009766	252.9790039062	0.1582317352	0.0000000000	3.0000000000	1.0000000000
49	685.5720214844	399.4729919434	254.2910003662	0.1582317352	0.0000000000	3.0000000000	1.0000000000
50	685.5720214844	399.4729919434	254.2910003662	0.1582317352	0.0000000000	3.0000000000	1.0000000000
50	671.3499755859	393.9339904785	259.2780151367	0.1888141632	0.0000000000	3.0000000000	1.0000000000
51	671.3499755859	393.9339904785	259.2780151367	0.1888141632	0.0000000000	3.0000000000	1.0000000000
51	655.1199951172	385.8139953613	259.0639953613	0.2231221199	0.0000000000	3.0000000000	1.0000000000
52	655.1199951172	385.8139953613	259.0639953613	0.2231221199	0.0000000000	3.0000000000	1.0000000000
52	635.6690063477	376.2749938965	259.0239868164	0.2518100739	0.0000000000	3.0000000000	1.0000000000
53	635.6690063477	376.2749938965	259.0239868164	0.2518100739	0.0000000000	3.0000000000	1.0000000000
53	617.9910278320	371.5440063477	262.2179870605	0.1981611252	0.0000000000	3.0000000000	1.0000000000
54	617.9910278320	371.5440063477	262.2179870605	0.1981611252	0.0000000000	3.0000000000	1.0000000000
54	598.1489868164	364.8680114746	266.2250061035	0.2479286194	0.0000000000	3.0000000000	1.0000000000
55	598.1489868164	364.8680114746	266.2250061035	0.2479286194	0.0000000000	3.0000000000	1.0000000000
55	590.3419799805	363.4519958496	266.8729858398	0.0956115723	0.0000000000	3.0000000000	1.0000000000
56	590.3419799805	363.4519958496	266.8729858398	0.0956115723	0.0000000000	3.0000000000	1.0000000000
56	576.2290039062	356.3619995117	267.2600097656	0.1732625961	0.0000000000	3.0000000000	1.0000000000
57	576.2290039062	356.3619995117	267.2600097656	0.1732625961	0.0000000000	3.0000000000	1.0000000000
57	566.1149902344	352.3829956055	271.5039978027	0.1290483475	0.0000000000	3.0000000000	1.0000000000
58	566.1149902344	352.3829956055	271.5039978027	0.1290483475	0.0000000000	3.0000000000	1.0000000000
58	548.7609863281	346.0889892578	274.4630126953	0.0233139992	0.0000000000	3.0000000000	1.0000000000
59	548.7609863281	346.0889892578	274.4630126953	0.0233139992	0.0000000000	3.0000000000	1.0000000000
59	540.1779785156	347.5310058594	273.6400146484	0.0112023354	0.0000000000	3.0000000000	1.0000000000
60	540.1779785156	347.5310058594	273.6400146484	0.0112023354	0.0000000000	3.0000000000	1.0000000000
60	522.8729858398	348.7269897461	273.5169982910	0.0198020935	0.0000000000	3.0000000000	1.0000000000
61	522.8729858398	348.7269897461	273.5169982910	0.0198020935	0.0000000000	3.0000000000	1.0000000000
61	518.2379760742	347.8049926758	275.0690002441	0.0049118996	0.0000000000	3.0000000000	1.0000000000
62	518.2379760742	347.8049926758	275.0690002441	0.0049118996	0.0000000000	3.0000000000	1.0000000000
62	498.4559936523	347.2890014648	276.8219909668	0.0215048790	0.0000000000	3.0000000000	1.0000000000
63	498.4559936523	347.2890014648	276.8219909668	0.0215048790	0.0000000000	3.0000000000	1.0000000000
63	481.4840087891	340.8510131836	281.7080078125	0.0219612122	0.0000000000	3.0000000000	1.0000000000
64	481.4840087891	340.8510131836	281.7080078125	0.0219612122	0.0000000000	3.0000000000	1.0000000000
64	466.6690063477	341.6799926758	282.1090087891	0.0203700066	0.0000000000	6.0000000000	1.0000000000
65	481.4840087891	340.8510131836	281.7080078125	0.0219612122	0.0000000000	3.0000000000	1.0000000000
65	478.5209960938	335.1480102539	286.6640014648	0.0117049217	0.0000000000	7.0000000000	1.0000000000
66	466.6690063477	341.6799926758	282.1090087891	0.0203700066	0.0000000000	6.0000000000	1.0000000000
66	460.5849914551	341.5050048828	286.1000061035	0.0102310181	0.0000000000	8.0000000000	1.0000000000
67	466.6690063477	341.6799926758	282.1090087891	0.0203700066	0.0000000000	6.0000000000	1.0000000000
67	461.4989929199	346.0480041504	282.2879943848	0.0103874207	0.0000000000	9.0000000000	1.0000000000
68	460.5849914551	341.5050048828	286.1000061035	0.0102310181	0.0000000000	8.0000000000	1.0000000000
68	454.3729858398	339.8150024414	292.4930114746	0.0136842728	0.0000000000	8.0000000000	1.0000000000
69	454.3729858398	339.8150024414	292.4930114746	0.0136842728	0.0000000000	8.0000000000	1.0000000000
69	448.8210144043	338.6300048828	299.8630065918	0.1406564713	0.0000000000	8.0000000000	1.0000000000
70	448.8210144043	338.6300048828	299.8630065918	0.1406564713	0.0000000000	8.0000000000	1.0000000000
70	444.1229858398	338.3680114746	306.6929931641	0.1237211227	0.0000000000	8.0000000000	1.0000000000
71	444.1229858398	338.3680114746	306.6929931641	0.1237211227	0.0000000000	8.0000000000	1.0000000000
