Index	X	Y	Z	cost	equivalent_radius	branch_id	vadose_flag
51	567.5390014648	494.7390136719	273.7950134277	0.1588139534	0.0000000000	23.0000000000	1.0000000000
52	567.5390014648	494.7390136719	273.7950134277	0.1588139534	0.0000000000	23.0000000000	1.0000000000
52	548.4000244141	503.0979919434	275.2659912109	0.2304608822	0.0000000000	23.0000000000	1.0000000000
53	548.4000244141	503.0979919434	275.2659912109	0.2304608822	0.0000000000	23.0000000000	1.0000000000
53	535.1389770508	516.2219848633	277.8919982910	0.2469136715	0.0000000000	23.0000000000	1.0000000000
54	535.1389770508	516.2219848633	277.8919982910	0.2469136715	0.0000000000	23.0000000000	1.0000000000
54	517.1040039062	526.1779785156	281.7080078125	0.2262555361	0.0000000000	23.0000000000	1.0000000000
55	517.1040039062	526.1779785156	281.7080078125	0.2262555361	0.0000000000	23.0000000000	1.0000000000
55	506.2550048828	532.9990234375	282.5650024414	0.0669327974	0.0000000000	23.0000000000	1.0000000000
56	506.2550048828	532.9990234375	282.5650024414	0.0669327974	0.0000000000	23.0000000000	1.0000000000
56	500.8689880371	534.5510253906	286.1029968262	0.0782704353	0.0000000000	23.0000000000	1.0000000000
57	500.8689880371	534.5510253906	286.1029968262	0.0782704353	0.0000000000	23.0000000000	1.0000000000
57	498.2760009766	537.6190185547	292.0530090332	0.1021831036	0.0000000000	23.0000000000	1.0000000000
58	500.8689880371	534.5510253906	286.1029968262	0.0782704353	0.0000000000	23.0000000000	1.0000000000
58	493.6539916992	518.9459838867	282.4809875488	0.2656581402	0.0000000000	23.0000000000	1.0000000000
59	498.2760009766	537.6190185547	292.0530090332	0.1021831036	0.0000000000	23.0000000000	1.0000000000
59	495.4790039062	541.2169799805	298.9219970703	0.1384043694	0.0000000000	23.0000000000	1.0000000000
60	495.4790039062	541.2169799805	298.9219970703	0.1384043694	0.0000000000	23.0000000000	1.0000000000
60	491.8129882812	546.2630004883	307.5750122070	0.1099457741	0.0000000000	23.0000000000	1.0000000000
61	491.8129882812	546.2630004883	307.5750122070	0.1099457741	0.0000000000	23.0000000000	1.0000000000
61	488.1480102539	550.0490112305	314.2189941406	0.1484360695	0.0000000000	23.0000000000	1.0000000000
62	488.1480102539	550.0490112305	314.2189941406	0.1484360695	0.0000000000	23.0000000000	1.0000000000
62	483.7980041504	551.4869995117	324.3039855957	0.1509854794	0.0000000000	23.0000000000	1.0000000000
63	488.1480102539	550.0490112305	314.2189941406	0.1484360695	0.0000000000	23.0000000000	1.0000000000
63	487.1560058594	557.5239868164	321.3779907227	0.1647208929	0.0000000000	23.0000000000	1.0000000000
