Index	X	Y	Z
359	115.784	139.717	35.7251
360	104.402	155.323	53.4314
361	69.711	118.067	35.1512
362	98.954	123.995	37.6095
363	201.782	176.832	84.8421
364	194.68	211.364	83.1123
365	70.1691	284.482	23.542
366	39.1547	298.409	57.9084
367	14.0827	344.792	47.2245
368	79.0525	309.582	58.7212
369	100.101	265.116	86.732
370	104.725	104.745	18.5814
371	117.283	93.6168	9.97697
372	158.269	358.903	23.2964
373	47.3633	457.9	46.516
374	84.9983	441.715	43.4942
375	36.7655	441.127	21.1509
376	57.7966	464.446	35.3034
377	57.9634	437.672	43.0657
378	99.4532	463.586	26.9704
379	104.052	464.691	42.39
380	89.918	444.714	63.8311
381	60.419	431.825	60.4471
382	136.243	128.157	14.8063
383	253.887	122.536	27.3155
384	197.351	102.153	34.4661
385	115.338	440.77	56.0114
386	95.8146	457.107	52.0354
387	70.9853	480.779	47.9527
388	96.1866	413.819	40.4285
389	123.616	457.358	38.171
390	96.509	481.459	49.3329
391	230.927	204.353	44.2933
392	239.965	206.369	57.8996
393	242.318	235.112	57.5691
394	97.9507	291.959	32.7971
395	274.796	177.211	49.6252
396	252.916	171.981	54.8971
397	263.11	145.433	53.5445
398	151.844	374.843	56.85
399	89.3524	389.271	46.6756
400	40.1456	404.358	65.9841
401	36.7877	402.692	52.1218
402	283.767	181.17	61.9684
403	262.132	184.078	65.5351
404	237.849	139.398	54.7318
405	292.685	141.187	64.2869
406	263.446	107.599	51.7407
407	295.33	149.604	44.9827
408	282.681	130.276	52.621
409	117.061	416.087	30.1255
410	84.2347	85.705	25.4316
411	77.1688	95.9292	3.11862
412	262.025	285.412	2.34863
413	258.001	326.027	17.9514
414	290.324	277.705	18.18
415	114.109	280.866	80.7597
416	101.721	317.544	89.5302
417	114.752	346.863	72.9337
418	82.1904	304.915	81.435
419	189.164	51.2205	13.1865
420	231.921	80.7722	2.23448
421	80.4344	420.281	53.8126
422	74.0825	416.937	36.9909
423	118.259	211.998	35.1191
424	106.116	168.459	38.0489
425	64.663	410.072	46.77
426	92.7633	404.36	65.325
427	178.322	382.18	14.6739
428	143.14	379.128	27.0051
429	221.318	381.54	12.7197
430	179.158	365.894	0.325948
431	193.558	360.68	34.8508
432	201.059	371.397	0.220382
433	115.507	120.214	10.4429
434	157.01	104.462	0.417644
435	119.552	135.019	21.2336
436	317.104	132.944	12.9924
437	275.847	157.577	21.4388
438	283.297	160.014	4.86411
439	290.261	121.679	2.11896
440	65.2102	408.402	1.689
441	110.948	388.266	2.4611
442	235.121	218.941	20.3164
443	279.842	213.948	16.1336
444	233.539	156.891	67.645
445	255.908	156.073	74.0821
446	244.375	159.634	38.2535
447	140.282	245.126	91.6205
448	138.721	276.792	96.023
449	112.037	288.649	65.3028
450	32.833	175.031	10.1206
451	115.913	461.063	11.5714
452	79.0698	490.717	36.5347
453	106.856	490.046	11.66
454	130.572	484.532	26.9112
455	102.566	510.412	27.0936
456	81.4899	488.805	23.1135
457	130.778	476.17	15.6605
458	55.6863	204.439	68.4892
459	56.0398	180.264	67.3872
460	72.3039	209.964	88.1518
461	298.912	169.646	32.7894
462	243.851	185.442	38.2358
463	217.618	264.555	32.6362
464	237.214	260.562	45.3995
465	121.206	247.882	50.3081
466	95.5008	213.215	90.8666
467	91.2348	154.528	71.252
468	70.8656	183.036	79.0225
469	60.1533	164.26	29.7534
470	8.4407	169.949	27.7584
471	233.575	196.84	68.6635
472	245.491	217.557	73.5039
473	261.651	65.0582	27.89
474	267.559	105.316	33.1727
475	264.412	65.1936	14.943
476	232.463	56.7686	23.5321
477	114.369	379.359	40.8891
478	58.6811	396.462	60.2001
479	334.567	144.425	30.6898
480	321.621	159.293	15.8523
481	328.061	172.247	29.7001
482	120.941	463.434	58.8472
483	88.429	477.809	59.9431
484	91.4705	455.864	83.5442
485	127.878	448.016	68.3389
486	57.837	474.852	59.7454
487	113.254	438.18	80.4578
488	43.7905	124.3	53.5027
489	0.819584	127.31	47.8466
490	14.2808	87.4574	34.4593
491	1.68385	90.6504	47.9587
492	1.60045	107.239	24.2242
493	114.961	492.602	57.277
494	118.049	500.85	38.3668
495	201.076	299.475	5.46226
496	26.4007	192.587	85.5218
497	26.8216	150.572	67.9748
498	10.1995	194.273	66.0989
499	125.374	536.179	54.5339
500	146.527	487.026	48.9152
501	128.337	485.899	74.0777
502	115.562	511.705	74.7076
503	95.8124	515.861	64.3941
504	94.6709	495.097	72.0062
505	205.685	345.749	48.6641
506	246.984	358.069	22.1138
507	244.227	316.944	31.8946
508	6.4397	113.484	34.5819
509	20.8606	133.593	55.2004
510	27.7997	107.371	54.7657
511	52.7168	104.049	31.9926
512	290.83	255.97	29.8136
513	312.405	254.214	11.3898
514	289.807	240.518	13.8249
515	148.254	186.214	64.4934
516	165.876	138.26	52.9565
